Wall time,Step,Value
1557587422.3498144,1536,0.4375
1557587430.934838,3072,0.703125
1557587438.864253,4608,0.625
1557587449.957322,6080,0.5424342155456543
1557587450.0354402,6144,0.796875
1557587457.0501647,7680,0.8125
1557587463.8258994,9216,0.6875
1557587472.053353,10752,0.796875
1557587480.7737892,12160,0.7274671196937561
1557587480.8604171,12288,0.90625
1557587487.4501703,13824,0.78125
1557587493.4974527,15360,0.796875
1557587499.868479,16896,0.90625
1557587506.7749555,18240,0.8167763352394104
1557587506.937651,18432,0.828125
1557587513.4009812,19968,0.9375
1557587518.8215466,21504,0.921875
1557587524.8640096,23040,0.75
1557587531.480274,24320,0.8756579160690308
1557587531.6907141,24576,0.890625
1557587537.8723316,26112,0.90625
1557587542.995759,27648,0.875
1557587548.270553,29184,1.0
1557587556.336959,30400,0.9072368144989014
1557587556.5872893,30720,0.953125
1557587563.071343,32256,0.953125
1557587569.140298,33792,0.96875
1557587574.954531,35328,0.953125
1557587580.5417476,36480,0.9333881735801697
1557587581.2302907,36864,0.921875
1557587587.820658,38400,0.96875
1557587593.695753,39936,0.96875
1557587598.7366524,41472,0.921875
1557587604.367612,42560,0.9398026466369629
1557587605.6107311,43008,1.0
1557587612.1178482,44544,0.984375
1557587618.0792732,46080,1.0
1557587623.4969916,47616,0.9375
1557587630.6639116,48640,0.9518092274665833
1557587632.495217,49152,0.96875
1557587641.3332264,50688,0.921875
1557587648.9345553,52224,1.0
1557587655.0738668,53760,0.96875
1557587662.4969342,54720,0.9679276347160339
1557587664.6361566,55296,0.984375
1557587670.981351,56832,0.96875
1557587677.6209776,58368,1.0
1557587685.0249925,59904,0.953125
1557587691.477438,60800,0.9807565808296204
1557587695.754563,61440,1.0
1557587704.1628995,62976,1.0
1557587710.3408208,64512,0.9375
1557587716.360077,66048,0.96875
1557587722.0151718,66880,0.9828947186470032
1557587724.9166725,67584,1.0
1557587732.2243695,69120,0.984375
1557587740.2791693,70656,1.0
1557587746.3109171,72192,1.0
1557587751.5311882,72960,0.9894737005233765
1557587754.521217,73728,1.0
1557587761.448188,75264,0.984375
1557587767.45791,76800,0.96875
1557587774.1524515,78336,0.984375
1557587779.893748,79040,0.988322377204895
1557587783.1941874,79872,1.0
1557587789.7140174,81408,0.984375
1557587796.1831393,82944,0.953125
1557587802.590038,84480,1.0
1557587807.585729,85120,0.988322377204895
1557587811.1468613,86016,1.0
1557587818.2259881,87552,0.96875
1557587825.0812738,89088,1.0
1557587831.4328475,90624,1.0
1557587835.8551881,91200,0.995394766330719
1557587839.5103793,92160,1.0
1557587845.4998093,93696,1.0
1557587851.7212567,95232,1.0
1557587858.2539225,96768,1.0
1557587862.798976,97280,0.9990131855010986
1557587866.1090493,98304,1.0
1557587871.2489135,99840,1.0
1557587876.3000133,101376,0.984375
1557587881.4381378,102912,0.984375
1557587884.745773,103360,0.9967105388641357
1557587888.2233386,104448,1.0
1557587893.3624141,105984,0.984375
1557587898.4756207,107520,0.9375
1557587903.4672072,109056,0.875
1557587906.5826068,109440,0.9824013113975525
1557587910.286102,110592,0.8125
1557587915.3217769,112128,0.96875
1557587921.6109617,113664,0.984375
1557587927.6723468,115200,1.0
1557587930.6844473,115520,0.9486842155456543
1557587934.7779193,116736,0.984375
1557587940.6437862,118272,0.984375
1557587947.581385,119808,1.0
1557587955.0717084,121344,1.0
1557587958.6106048,121600,0.9972039461135864
1557587964.0560226,122880,1.0
1557587970.589013,124416,1.0
1557587977.6658018,125952,1.0
1557587983.9863832,127488,1.0
1557587986.9978907,127680,0.9996710419654846
1557587992.714062,129024,1.0
1557587999.6706243,130560,1.0
1557588007.679663,132096,1.0
1557588015.923385,133632,1.0
1557588020.2881715,133760,1.0
1557588027.4391942,135168,1.0
1557588034.8349185,136704,1.0
1557588042.521603,138240,1.0
1557588049.4721482,139776,1.0
1557588052.142799,139840,0.9998355507850647
1557588058.289457,141312,1.0
1557588064.2895668,142848,1.0
1557588070.2613435,144384,1.0
1557588077.4998622,145920,1.0
1557588079.8249621,145920,0.9998355507850647
1557588085.6677089,147456,1.0
1557588092.4791512,148992,1.0
1557588097.9929035,150528,1.0
1557588106.1869557,152000,1.0
1557588106.2468312,152064,1.0
1557588111.3944063,153600,1.0
1557588117.214792,155136,1.0
1557588125.081438,156672,1.0
1557588133.012233,158080,1.0
1557588133.1124725,158208,1.0
1557588141.3416004,159744,1.0
1557588147.9210465,161280,1.0
1557588155.9401262,162816,1.0
1557588164.6870017,164160,1.0
1557588164.849737,164352,1.0
1557588171.2781818,165888,0.984375
1557588178.0352297,167424,1.0
1557588184.4661648,168960,1.0
1557588191.6912389,170240,0.9976973533630371
1557588191.9451003,170496,0.984375
1557588199.6019073,172032,0.90625
1557588205.8348315,173568,1.0
1557588213.8073583,175104,0.96875
1557588221.4476256,176320,0.9781249761581421
1557588221.69638,176640,1.0
1557588228.3365173,178176,1.0
1557588234.1435063,179712,0.984375
1557588240.9518008,181248,1.0
1557588249.4765673,182400,0.996874988079071
1557588250.4048557,182784,1.0
1557588260.684501,184320,1.0
1557588268.226882,185856,1.0
1557588276.7621324,187392,1.0
1557588284.68168,188480,0.9995065927505493
1557588285.7712674,188928,1.0
1557588293.6174662,190464,1.0
1557588301.1243124,192000,1.0
1557588306.931402,193536,1.0
1557588314.9692512,194560,1.0
1557588316.3479326,195072,1.0
1557588322.8535461,196608,1.0
1557588329.2308028,198144,1.0
1557588335.1456985,199680,1.0
1557588342.2134466,200640,0.9998355507850647
1557588344.4297843,201216,1.0
1557588352.2935178,202752,1.0
1557588360.0461833,204288,1.0
1557588366.3192966,205824,1.0
1557588374.0676992,206720,0.9998355507850647
1557588376.633316,207360,1.0
1557588382.4214475,208896,1.0
1557588388.3520327,210432,1.0
1557588394.176888,211968,1.0
1557588400.2125475,212800,1.0
1557588404.1271763,213504,1.0
1557588411.981459,215040,1.0
1557588421.081992,216576,1.0
1557588427.7599862,218112,1.0
1557588433.00146,218880,1.0
1557588436.216974,219648,1.0
1557588443.8417346,221184,1.0
1557588450.9335644,222720,1.0
1557588457.8234103,224256,1.0
1557588462.4512239,224960,1.0
1557588465.7675712,225792,1.0
1557588473.453188,227328,1.0
1557588479.8118207,228864,1.0
1557588487.2175279,230400,1.0
1557588493.8753297,231040,1.0
1557588498.0534005,231936,1.0
1557588505.3969572,233472,1.0
1557588512.9819956,235008,1.0
1557588520.9500155,236544,1.0
1557588526.3584118,237120,1.0
1557588529.9471545,238080,1.0
1557588535.9229033,239616,0.984375
1557588542.3046713,241152,0.96875
1557588549.052863,242688,0.953125
1557588554.9045208,243200,0.9337171316146851
1557588559.8466105,244224,0.890625
1557588567.9702246,245760,0.984375
1557588577.6392965,247296,1.0
1557588584.0328813,248832,0.984375
1557588587.8690135,249280,0.9802631735801697
1557588591.9449046,250368,1.0
1557588598.0259125,251904,1.0
1557588604.2406752,253440,1.0
1557588610.5393317,254976,1.0
1557588614.2975824,255360,0.9970394968986511
1557588620.3060038,256512,1.0
1557588627.3435025,258048,1.0
1557588633.317993,259584,1.0
1557588639.4937634,261120,1.0
1557588642.6774487,261440,0.9998355507850647
1557588648.73323,262656,1.0
1557588655.9119081,264192,1.0
1557588662.0047035,265728,1.0
1557588668.6427417,267264,1.0
1557588672.9550538,267520,1.0
1557588679.0220037,268800,1.0
1557588685.1684744,270336,1.0
1557588690.7346725,271872,1.0
1557588696.9143238,273408,1.0
1557588699.851328,273600,1.0
1557588705.1821535,274944,1.0
1557588713.621179,276480,1.0
1557588722.742957,278016,1.0
1557588730.9017682,279552,1.0
1557588733.9149523,279680,1.0
1557588739.6570911,281088,1.0
1557588746.7077243,282624,1.0
1557588754.3023672,284160,1.0
1557588762.9342222,285696,1.0
1557588766.2315893,285760,1.0
1557588773.6254117,287232,1.0
1557588782.0815926,288768,1.0
1557588789.3191917,290304,1.0
1557588796.4539173,291840,1.0
1557588798.8004544,291840,1.0
1557588806.2481074,293376,1.0
1557588813.104279,294912,1.0
1557588820.7242033,296448,1.0
1557588830.550833,297920,1.0
1557588830.6133258,297984,1.0
1557588837.4046795,299520,1.0
1557588844.114304,301056,1.0
1557588850.7781172,302592,1.0
1557588858.6095836,304000,1.0
1557588858.7225106,304128,1.0
1557588865.1269252,305664,1.0
1557588872.1710293,307200,1.0
1557588879.507645,308736,1.0
1557588889.7700298,310080,1.0
1557588889.974036,310272,1.0
1557588899.044677,311808,1.0
1557588906.6419208,313344,1.0
1557588913.3713362,314880,1.0
1557588924.6144676,316160,1.0
1557588924.8774405,316416,1.0
1557588933.0437286,317952,1.0
1557588941.804782,319488,1.0
1557588950.3452406,321024,1.0
1557588960.4810796,322240,1.0
1557588960.7510586,322560,1.0
1557588968.586072,324096,1.0
1557588978.4614725,325632,1.0
1557588988.797771,327168,1.0
1557588996.0105643,328320,1.0
1557588996.8437364,328704,1.0
1557589003.8610857,330240,1.0
1557589010.9713886,331776,0.96875
1557589017.389812,333312,0.921875
1557589024.2496266,334400,0.9717105031013489
1557589025.5856228,334848,1.0
1557589033.7157462,336384,1.0
1557589042.7750163,337920,1.0
1557589050.1439188,339456,1.0
1557589056.9248362,340480,0.9901315569877625
1557589058.475057,340992,1.0
1557589065.8221788,342528,1.0
1557589072.4223301,344064,1.0
1557589078.7034857,345600,1.0
1557589085.4030561,346560,0.9996710419654846
1557589087.7396054,347136,1.0
1557589094.1792727,348672,1.0
1557589100.9860873,350208,1.0
1557589108.758804,351744,1.0
1557589116.5024204,352640,1.0
1557589120.8848681,353280,1.0
1557589127.645754,354816,1.0
1557589136.4441357,356352,0.984375
1557589144.229572,357888,1.0
1557589149.9791627,358720,0.9995065927505493
1557589152.795188,359424,1.0
1557589159.7498088,360960,1.0
1557589168.2628415,362496,1.0
1557589176.8232317,364032,1.0
1557589182.1970637,364800,1.0
